timestamp,value
1613030403.346, 552914944
1613030423.346, 552767488
1613030443.346, 552873984
1613030463.346, 552878080
1613030483.346, 552935424
1613030503.346, 552935424
1613030523.346, 552849408
1613030543.346, 552738816
1613030563.346, 552747008
1613030583.346, 552890368
1613030603.346, 552894464
1613030623.346, 552865792
1613030643.346, 552898560
1613030663.346, 552914944
1613030683.346, 552886272
1613030703.346, 552792064
1613030723.346, 552779776
1613030743.346, 552947712
1613030763.346, 552808448
1613030783.346, 552947712
1613030803.346, 552886272
1613030823.346, 552890368
1613030843.346, 553000960
1613030863.346, 552804352
1613030883.346, 552943616
1613030903.346, 552914944
1613030923.346, 552857600
1613030943.346, 553054208
1613030963.346, 552902656
1613030983.346, 553000960
1613031003.346, 553017344
1613031023.346, 553046016
1613031043.346, 553021440
1613031063.346, 553107456
1613031083.346, 552939520
1613031103.346, 553107456
1613031123.346, 553013248
1613031143.346, 553054208
1613031163.346, 553058304
1613031183.346, 553005056
1613031203.346, 553041920
1613031223.346, 553091072
1613031243.346, 553156608
1613031263.346, 552235008
1613031283.346, 551849984
1613031303.346, 552013824
1613031323.346, 551895040
1613031343.346, 551907328
1613031363.346, 551923712
1613031383.346, 552771584
1613031403.346, 552677376
1613031423.346, 552812544
1613031443.346, 552796160
1613031463.346, 552865792
1613031483.346, 552837120
1613031503.346, 552939520
1613031523.346, 552841216
1613031543.346, 552878080
1613031563.346, 553017344
1613031583.346, 552923136
1613031603.346, 552960000
1613031623.346, 552869888
1613031643.346, 553005056
1613031663.346, 552869888
1613031683.346, 553025536
1613031703.346, 553033728
1613031723.346, 553013248
1613031743.346, 552112128
1613031763.346, 552185856
1613031783.346, 552062976
1613031803.346, 552013824
1613031823.346, 552181760
1613031843.346, 552091648
1613031863.346, 552898560
1613031883.346, 552873984
1613031903.346, 552873984
1613031923.346, 553029632
1613031943.346, 552996864
1613031963.346, 553070592
1613031983.346, 553021440
1613032003.346, 553140224
1613032023.346, 553140224
1613032043.346, 553123840
1613032063.346, 553058304
1613032083.346, 553070592
1613032103.346, 553209856
1613032123.346, 553222144
1613032143.346, 553234432
1613032163.346, 553299968
1613032183.346, 553345024
1613032203.346, 553246720
1613032223.346, 553254912
1613032243.346, 552202240
1613032263.346, 552861696
1613032283.346, 552878080
1613032303.346, 552792064
1613032323.346, 552800256
1613032343.346, 552685568
1613032363.346, 552816640
1613032383.346, 552718336
1613032403.346, 552738816
1613032423.346, 552673280
1613032443.346, 552742912
1613032463.346, 552755200
1613032483.346, 552697856
1613032503.346, 552812544
1613032523.346, 552787968
1613032543.346, 552919040
1613032563.346, 552824832
1613032583.346, 552845312
1613032603.346, 552890368
1613032623.346, 552865792
1613032643.346, 553029632
1613032663.346, 553037824
1613032683.346, 553041920
1613032703.346, 552886272
1613032723.346, 552873984
1613032743.346, 552816640
1613032763.346, 552865792
1613032783.346, 552812544
1613032803.346, 552910848
1613032823.346, 553009152
1613032843.346, 552984576
1613032863.346, 552927232
1613032883.346, 552943616
1613032903.346, 553009152
1613032923.346, 552914944
1613032943.346, 552996864
1613032963.346, 553029632
1613032983.346, 552976384
1613033003.346, 552960000
1613033023.346, 552960000
1613033043.346, 552968192
1613033063.346, 552984576
1613033083.346, 553320448
1613033103.346, 553111552
1613033123.346, 553246720
1613033143.346, 553160704
1613033163.346, 553193472
1613033183.346, 553304064
1613033203.346, 553275392
1613033223.346, 553218048
1613033243.346, 553238528
1613033263.346, 553082880
1613033283.346, 553222144
1613033303.346, 553209856
1613033323.346, 553209856
1613033343.346, 553275392
1613033363.346, 553127936
1613033383.346, 553160704
1613033403.346, 553136128
1613033423.346, 553283584
1613033443.346, 552939520
1613033463.346, 552882176
1613033483.346, 552935424
1613033503.346, 552845312
1613033523.346, 552783872
1613033543.346, 552873984
1613033563.346, 552808448
1613033583.346, 552914944
1613033603.346, 552890368
1613033623.346, 552992768
1613033643.346, 553005056
1613033663.346, 552849408
1613033683.346, 553058304
1613033703.346, 552865792
1613033723.346, 552980480
1613033743.346, 552890368
1613033763.346, 552955904
1613033783.346, 552964096
1613033803.346, 553037824
1613033823.346, 553168896
1613033843.346, 553086976
1613033863.346, 553050112
1613033883.346, 553009152
1613033903.346, 553148416
1613033923.346, 553062400
1613033943.346, 553062400
1613033963.346, 552865792
1613033983.346, 552902656
1613034003.346, 552841216
1613034023.346, 552787968
1613034043.346, 552755200
1613034063.346, 552902656
1613034083.346, 552812544
1613034103.346, 552849408
1613034123.346, 552890368
1613034143.346, 552865792
1613034163.346, 552943616
1613034183.346, 552882176
1613034203.346, 552820736
1613034223.346, 552890368
1613034243.346, 552931328
1613034263.346, 553000960
1613034283.346, 552882176
1613034303.346, 552857600
1613034323.346, 552910848
1613034343.346, 550699008
1613034363.346, 552906752
1613034383.346, 552861696
1613034403.346, 552894464
1613034423.346, 552910848
1613034443.346, 552079360
1613034463.346, 552017920
1613034483.346, 552017920
1613034503.346, 551976960
1613034523.346, 551911424
1613034543.346, 551858176
1613034563.346, 553029632
1613034583.346, 552865792
1613034603.346, 552906752
1613034623.346, 553050112
1613034643.346, 552923136
1613034663.346, 553066496
1613034683.346, 552939520
1613034703.346, 552955904
1613034723.346, 553086976
1613034743.346, 553037824
1613034763.346, 553140224
1613034783.346, 552951808
1613034803.346, 552968192
1613034823.346, 553099264
1613034843.346, 553107456
1613034863.346, 553193472
1613034883.346, 553160704
1613034903.346, 553095168
1613034923.346, 553013248
1613034943.346, 553078784
1613034963.346, 553119744
1613034983.346, 553189376
1613035003.346, 553099264
1613035023.346, 553132032
1613035043.346, 552935424
1613035063.346, 552853504
1613035083.346, 552865792
1613035103.346, 552882176
1613035123.346, 552914944
1613035143.346, 553000960
1613035163.346, 552947712
1613035183.346, 553050112
1613035203.346, 553058304
1613035223.346, 553058304
1613035243.346, 553054208
1613035263.346, 553066496
1613035283.346, 552980480
1613035303.346, 552984576
1613035323.346, 552951808
1613035343.346, 553046016
1613035363.346, 552980480
1613035383.346, 552988672
1613035403.346, 553181184
1613035423.346, 552890368
1613035443.346, 552968192
1613035463.346, 553046016
1613035483.346, 553029632
1613035503.346, 552996864
1613035523.346, 553021440
1613035543.346, 552955904
1613035563.346, 552968192
1613035583.346, 550088704
1613035603.346, 549908480
1613035623.346, 549949440
1613035643.346, 550014976
1613035663.346, 549965824
1613035683.346, 549937152
1613035703.346, 550010880
1613035723.346, 550047744
1613035743.346, 550150144
1613035763.346, 550092800
1613035783.346, 550133760
1613035803.346, 550166528
1613035823.346, 549928960
1613035843.346, 549900288
1613035863.346, 549871616
1613035883.346, 550141952
1613035903.346, 550338560
1613035923.346, 550248448
1613035943.346, 550195200
1613035963.346, 550330368
1613035983.346, 550207488
1613036003.346, 550342656
1613036023.346, 550244352
1613036043.346, 550281216
1613036063.346, 550490112
1613036083.346, 550457344
1613036103.346, 550338560
1613036123.346, 549539840
1613036143.346, 549486592
1613036163.346, 549490688
1613036183.346, 549527552
1613036203.346, 549511168
1613036223.346, 549650432
1613036243.346, 552632320
1613036263.346, 552767488
1613036283.346, 552755200
1613036303.346, 552787968
1613036323.346, 552689664
1613036343.346, 552697856
1613036363.346, 552640512
1613036383.346, 552660992
1613036403.346, 552730624
1613036423.346, 552816640
1613036443.346, 552689664
1613036463.346, 552689664
1613036483.346, 552796160
1613036503.346, 552873984
1613036523.346, 552808448
1613036543.346, 551829504
1613036563.346, 551702528
1613036583.346, 551694336
1613036603.346, 551768064
1613036623.346, 551751680
1613036643.346, 551694336
1613036663.346, 552615936
1613036683.346, 552591360
1613036703.346, 552558592
1613036723.346, 552501248
1613036743.346, 552574976
1613036763.346, 552607744
1613036783.346, 552718336
1613036803.346, 552771584
1613036823.346, 552771584
1613036843.346, 552660992
1613036863.346, 552595456
1613036883.346, 552701952
1613036903.346, 552759296
1613036923.346, 552767488
1613036943.346, 552771584
1613036963.346, 552849408
1613036983.346, 552820736
